pair_id,source_x_native,source_y_native,reference_x_native,reference_y_native,source_x_refined,source_y_refined,reference_x_refined,reference_y_refined,score,residual,grid_row,grid_col,solar_delta_azimuth,solar_delta_elevation,solar_delta_incidence
pair_01,0,0,0,0,0.1,-0.2,0.5,-0.3,0.95,0.4,0,0,1.2,0.5,2.1
pair_01,5,5,80,80,5.1,4.8,80.5,79.7,0.95,0.4,1,1,1.2,0.5,2.1
pair_01,10,10,160,160,10.1,9.8,160.5,159.7,0.95,0.4,2,2,1.2,0.5,2.1
pair_01,15,15,240,240,15.1,14.8,240.5,239.7,0.95,0.4,3,3,1.2,0.5,2.1
pair_01,20,20,320,320,20.1,19.8,320.5,319.7,0.95,0.4,4,4,1.2,0.5,2.1
pair_01,25,25,400,400,25.1,24.8,400.5,399.7,0.95,0.4,5,5,1.2,0.5,2.1
pair_01,30,30,480,480,30.1,29.8,480.5,479.7,0.95,0.4,6,6,1.2,0.5,2.1
pair_01,35,35,560,560,35.1,34.8,560.5,559.7,0.95,0.4,7,7,1.2,0.5,2.1
pair_01,40,40,640,640,40.1,39.8,640.5,639.7,0.95,0.4,0,0,1.2,0.5,2.1
pair_01,45,45,720,720,45.1,44.8,720.5,719.7,0.95,0.4,1,1,1.2,0.5,2.1
pair_01,50,50,800,800,50.1,49.8,800.5,799.7,0.95,0.4,2,2,1.2,0.5,2.1
pair_01,55,55,880,880,55.1,54.8,880.5,879.7,0.95,0.4,3,3,1.2,0.5,2.1
pair_01,60,60,960,960,60.1,59.8,960.5,959.7,0.95,0.4,4,4,1.2,0.5,2.1
pair_01,65,65,1040,1040,65.1,64.8,1040.5,1039.7,0.95,0.4,5,5,1.2,0.5,2.1
pair_01,70,70,1120,1120,70.1,69.8,1120.5,1119.7,0.95,0.4,6,6,1.2,0.5,2.1
pair_01,75,75,1200,1200,75.1,74.8,1200.5,1199.7,0.95,0.4,7,7,1.2,0.5,2.1
pair_01,80,80,1280,1280,80.1,79.8,1280.5,1279.7,0.95,0.4,0,0,1.2,0.5,2.1
pair_01,85,85,1360,1360,85.1,84.8,1360.5,1359.7,0.95,0.4,1,1,1.2,0.5,2.1
pair_01,90,90,1440,1440,90.1,89.8,1440.5,1439.7,0.95,0.4,2,2,1.2,0.5,2.1
pair_01,95,95,1520,1520,95.1,94.8,1520.5,1519.7,0.95,0.4,3,3,1.2,0.5,2.1
pair_01,100,100,1600,1600,100.1,99.8,1600.5,1599.7,0.95,0.4,4,4,1.2,0.5,2.1
pair_01,105,105,1680,1680,105.1,104.8,1680.5,1679.7,0.95,0.4,5,5,1.2,0.5,2.1
pair_01,110,110,1760,1760,110.1,109.8,1760.5,1759.7,0.95,0.4,6,6,1.2,0.5,2.1
pair_01,115,115,1840,1840,115.1,114.8,1840.5,1839.7,0.95,0.4,7,7,1.2,0.5,2.1
pair_01,120,120,1920,1920,120.1,119.8,1920.5,1919.7,0.95,0.4,0,0,1.2,0.5,2.1
pair_01,125,125,2000,2000,125.1,124.8,2000.5,1999.7,0.95,0.4,1,1,1.2,0.5,2.1
pair_01,130,130,2080,2080,130.1,129.8,2080.5,2079.7,0.95,0.4,2,2,1.2,0.5,2.1
pair_01,135,135,2160,2160,135.1,134.8,2160.5,2159.7,0.95,0.4,3,3,1.2,0.5,2.1
pair_01,140,140,2240,2240,140.1,139.8,2240.5,2239.7,0.95,0.4,4,4,1.2,0.5,2.1
pair_01,145,145,2320,2320,145.1,144.8,2320.5,2319.7,0.95,0.4,5,5,1.2,0.5,2.1
pair_01,150,150,2400,2400,150.1,149.8,2400.5,2399.7,0.95,0.4,6,6,1.2,0.5,2.1
pair_01,155,155,2480,2480,155.1,154.8,2480.5,2479.7,0.95,0.4,7,7,1.2,0.5,2.1
pair_01,160,160,2560,2560,160.1,159.8,2560.5,2559.7,0.95,0.4,0,0,1.2,0.5,2.1
pair_01,165,165,2640,2640,165.1,164.8,2640.5,2639.7,0.95,0.4,1,1,1.2,0.5,2.1
pair_01,170,170,2720,2720,170.1,169.8,2720.5,2719.7,0.95,0.4,2,2,1.2,0.5,2.1
pair_01,175,175,2800,2800,175.1,174.8,2800.5,2799.7,0.95,0.4,3,3,1.2,0.5,2.1
pair_01,180,180,2880,2880,180.1,179.8,2880.5,2879.7,0.95,0.4,4,4,1.2,0.5,2.1
pair_01,185,185,2960,2960,185.1,184.8,2960.5,2959.7,0.95,0.4,5,5,1.2,0.5,2.1
pair_01,190,190,3040,3040,190.1,189.8,3040.5,3039.7,0.95,0.4,6,6,1.2,0.5,2.1
pair_01,195,195,3120,3120,195.1,194.8,3120.5,3119.7,0.95,0.4,7,7,1.2,0.5,2.1
