pair_id,source_sensor,reference_sensor,source_x,source_y,reference_x,reference_y,score,scale_level,representation
pair_01,TMC2,OHRC,0,0,0,0,0.9,2,gradient
pair_01,TMC2,OHRC,5,5,80,80,0.9,2,gradient
pair_01,TMC2,OHRC,10,10,160,160,0.9,2,gradient
pair_01,TMC2,OHRC,15,15,240,240,0.9,2,gradient
pair_01,TMC2,OHRC,20,20,320,320,0.9,2,gradient
pair_01,TMC2,OHRC,25,25,400,400,0.9,2,gradient
pair_01,TMC2,OHRC,30,30,480,480,0.9,2,gradient
pair_01,TMC2,OHRC,35,35,560,560,0.9,2,gradient
pair_01,TMC2,OHRC,40,40,640,640,0.9,2,gradient
pair_01,TMC2,OHRC,45,45,720,720,0.9,2,gradient
pair_01,TMC2,OHRC,50,50,800,800,0.9,2,gradient
pair_01,TMC2,OHRC,55,55,880,880,0.9,2,gradient
pair_01,TMC2,OHRC,60,60,960,960,0.9,2,gradient
pair_01,TMC2,OHRC,65,65,1040,1040,0.9,2,gradient
pair_01,TMC2,OHRC,70,70,1120,1120,0.9,2,gradient
pair_01,TMC2,OHRC,75,75,1200,1200,0.9,2,gradient
pair_01,TMC2,OHRC,80,80,1280,1280,0.9,2,gradient
pair_01,TMC2,OHRC,85,85,1360,1360,0.9,2,gradient
pair_01,TMC2,OHRC,90,90,1440,1440,0.9,2,gradient
pair_01,TMC2,OHRC,95,95,1520,1520,0.9,2,gradient
pair_01,TMC2,OHRC,100,100,1600,1600,0.9,2,gradient
pair_01,TMC2,OHRC,105,105,1680,1680,0.9,2,gradient
pair_01,TMC2,OHRC,110,110,1760,1760,0.9,2,gradient
pair_01,TMC2,OHRC,115,115,1840,1840,0.9,2,gradient
pair_01,TMC2,OHRC,120,120,1920,1920,0.9,2,gradient
pair_01,TMC2,OHRC,125,125,2000,2000,0.9,2,gradient
pair_01,TMC2,OHRC,130,130,2080,2080,0.9,2,gradient
pair_01,TMC2,OHRC,135,135,2160,2160,0.9,2,gradient
pair_01,TMC2,OHRC,140,140,2240,2240,0.9,2,gradient
pair_01,TMC2,OHRC,145,145,2320,2320,0.9,2,gradient
pair_01,TMC2,OHRC,150,150,2400,2400,0.9,2,gradient
pair_01,TMC2,OHRC,155,155,2480,2480,0.9,2,gradient
pair_01,TMC2,OHRC,160,160,2560,2560,0.9,2,gradient
pair_01,TMC2,OHRC,165,165,2640,2640,0.9,2,gradient
pair_01,TMC2,OHRC,170,170,2720,2720,0.9,2,gradient
pair_01,TMC2,OHRC,175,175,2800,2800,0.9,2,gradient
pair_01,TMC2,OHRC,180,180,2880,2880,0.9,2,gradient
pair_01,TMC2,OHRC,185,185,2960,2960,0.9,2,gradient
pair_01,TMC2,OHRC,190,190,3040,3040,0.9,2,gradient
pair_01,TMC2,OHRC,195,195,3120,3120,0.9,2,gradient
pair_01,TMC2,OHRC,200,200,3200,3200,0.9,2,gradient
pair_01,TMC2,OHRC,205,205,3280,3280,0.9,2,gradient
pair_01,TMC2,OHRC,210,210,3360,3360,0.9,2,gradient
pair_01,TMC2,OHRC,215,215,3440,3440,0.9,2,gradient
pair_01,TMC2,OHRC,220,220,3520,3520,0.9,2,gradient
pair_01,TMC2,OHRC,225,225,3600,3600,0.9,2,gradient
pair_01,TMC2,OHRC,230,230,3680,3680,0.9,2,gradient
pair_01,TMC2,OHRC,235,235,3760,3760,0.9,2,gradient
pair_01,TMC2,OHRC,240,240,3840,3840,0.9,2,gradient
pair_01,TMC2,OHRC,245,245,3920,3920,0.9,2,gradient
pair_01,TMC2,OHRC,250,250,4000,4000,0.9,2,gradient
pair_01,TMC2,OHRC,255,255,4080,4080,0.9,2,gradient
pair_01,TMC2,OHRC,260,260,4160,4160,0.9,2,gradient
pair_01,TMC2,OHRC,265,265,4240,4240,0.9,2,gradient
pair_01,TMC2,OHRC,270,270,4320,4320,0.9,2,gradient
pair_01,TMC2,OHRC,275,275,4400,4400,0.9,2,gradient
pair_01,TMC2,OHRC,280,280,4480,4480,0.9,2,gradient
pair_01,TMC2,OHRC,285,285,4560,4560,0.9,2,gradient
pair_01,TMC2,OHRC,290,290,4640,4640,0.9,2,gradient
pair_01,TMC2,OHRC,295,295,4720,4720,0.9,2,gradient
pair_01,TMC2,OHRC,300,300,4800,4800,0.9,2,gradient
pair_01,TMC2,OHRC,305,305,4880,4880,0.9,2,gradient
pair_01,TMC2,OHRC,310,310,4960,4960,0.9,2,gradient
pair_01,TMC2,OHRC,315,315,5040,5040,0.9,2,gradient
pair_01,TMC2,OHRC,320,320,5120,5120,0.9,2,gradient
pair_01,TMC2,OHRC,325,325,5200,5200,0.9,2,gradient
pair_01,TMC2,OHRC,330,330,5280,5280,0.9,2,gradient
pair_01,TMC2,OHRC,335,335,5360,5360,0.9,2,gradient
pair_01,TMC2,OHRC,340,340,5440,5440,0.9,2,gradient
pair_01,TMC2,OHRC,345,345,5520,5520,0.9,2,gradient
pair_01,TMC2,OHRC,350,350,5600,5600,0.9,2,gradient
pair_01,TMC2,OHRC,355,355,5680,5680,0.9,2,gradient
pair_01,TMC2,OHRC,360,360,5760,5760,0.9,2,gradient
pair_01,TMC2,OHRC,365,365,5840,5840,0.9,2,gradient
pair_01,TMC2,OHRC,370,370,5920,5920,0.9,2,gradient
pair_01,TMC2,OHRC,375,375,6000,6000,0.9,2,gradient
pair_01,TMC2,OHRC,380,380,6080,6080,0.9,2,gradient
pair_01,TMC2,OHRC,385,385,6160,6160,0.9,2,gradient
pair_01,TMC2,OHRC,390,390,6240,6240,0.9,2,gradient
pair_01,TMC2,OHRC,395,395,6320,6320,0.9,2,gradient
