pair_id,source_sensor,reference_sensor,source_x,source_y,reference_x,reference_y,score,scale_level,representation
pair_01,TMC2,OHRC,0,0,0,0,0.8,2,gradient
pair_01,TMC2,OHRC,5,5,80,80,0.8,2,gradient
pair_01,TMC2,OHRC,10,10,160,160,0.8,2,gradient
pair_01,TMC2,OHRC,15,15,240,240,0.8,2,gradient
pair_01,TMC2,OHRC,20,20,320,320,0.8,2,gradient
pair_01,TMC2,OHRC,25,25,400,400,0.8,2,gradient
pair_01,TMC2,OHRC,30,30,480,480,0.8,2,gradient
pair_01,TMC2,OHRC,35,35,560,560,0.8,2,gradient
pair_01,TMC2,OHRC,40,40,640,640,0.8,2,gradient
pair_01,TMC2,OHRC,45,45,720,720,0.8,2,gradient
pair_01,TMC2,OHRC,50,50,800,800,0.8,2,gradient
pair_01,TMC2,OHRC,55,55,880,880,0.8,2,gradient
pair_01,TMC2,OHRC,60,60,960,960,0.8,2,gradient
pair_01,TMC2,OHRC,65,65,1040,1040,0.8,2,gradient
pair_01,TMC2,OHRC,70,70,1120,1120,0.8,2,gradient
pair_01,TMC2,OHRC,75,75,1200,1200,0.8,2,gradient
pair_01,TMC2,OHRC,80,80,1280,1280,0.8,2,gradient
pair_01,TMC2,OHRC,85,85,1360,1360,0.8,2,gradient
pair_01,TMC2,OHRC,90,90,1440,1440,0.8,2,gradient
pair_01,TMC2,OHRC,95,95,1520,1520,0.8,2,gradient
pair_01,TMC2,OHRC,100,100,1600,1600,0.8,2,gradient
pair_01,TMC2,OHRC,105,105,1680,1680,0.8,2,gradient
pair_01,TMC2,OHRC,110,110,1760,1760,0.8,2,gradient
pair_01,TMC2,OHRC,115,115,1840,1840,0.8,2,gradient
pair_01,TMC2,OHRC,120,120,1920,1920,0.8,2,gradient
pair_01,TMC2,OHRC,125,125,2000,2000,0.8,2,gradient
pair_01,TMC2,OHRC,130,130,2080,2080,0.8,2,gradient
pair_01,TMC2,OHRC,135,135,2160,2160,0.8,2,gradient
pair_01,TMC2,OHRC,140,140,2240,2240,0.8,2,gradient
pair_01,TMC2,OHRC,145,145,2320,2320,0.8,2,gradient
pair_01,TMC2,OHRC,150,150,2400,2400,0.8,2,gradient
